Unique-Ice	HG-Sediment	UIW-DOM
		C25H30O8
		C22H34O8S
		C22H34O10
		C26H34O7
		C23H38O9
		C22H38N2O8
		C20H42O11
		C18H21NO13
		C21H21N3O9
		C19H25NO12
		C23H25NO9
		C22H25N3O8
		C20H29NO11
		C24H29NO8
		C21H33NO10
		C21H16O12
		C18H20O12S
		C18H20O14
		C22H20O11
		C19H24O11S
		C21H20N2O10
		C19H24O13
		C18H24N2O12
		C23H24O10
		C20H28O10S
		C22H24N2O9
		C20H28O12
		C24H28O9
		C21H32O9S
		C23H28N2O8
		C21H32O11
		C25H32O8
		C22H36O10
		C26H36O7
		C21H19NO11
		C18H23NO11S
		C18H23NO13
		C22H23NO10
		C19H27NO10S
		C21H23N3O9
		C19H27NO12
		C23H27NO9
		C22H27N3O8
		C20H31NO11
		C24H31NO8
		C21H18O12
		C18H22O12S
		C20H18N2O11
		C18H22O14
		C22H22O11
		C19H26O11S
		C21H22N2O10
		C19H26O13
		C23H26O10
		C20H30O10S
		C22H26N2O9
		C20H30O12
		C24H30O9
		C21H34O9S
		C23H30N2O8
		C21H34O11
		C25H34O8
		C26H38O7
		C21H21NO11
		C18H25NO11S
		C20H21N3O10
		C22H25NO10
		C21H25N3O9
		C19H29NO12
		C23H29NO9
		C22H29N3O8
		C20H16O13
		C17H20O13S
		C21H20O12
		C18H24O12S
		C20H20N2O11
		C18H24O14
		C22H24O11
		C19H28O11S
		C21H24N2O10
		C19H28O13
		C23H28O10
		C20H32O10S
		C22H28N2O9
		C20H32O12
		C24H32O9
		C21H36O9S
		C25H36O8
		C26H40O7
		C20H19NO12
		C19H19N3O11
		C21H23NO11
		C20H23N3O10
		C22H27NO10
		C21H27N3O9
		C23H31NO9
		C20H18O13
		C17H22O13S
		C19H18N2O12
		C21H22O12
		C18H26O12S
		C20H22N2O11
		C22H26O11
		C19H30O11S
		C21H26N2O10
		C23H30O10
		C20H34O10S
		C22H30N2O9
		C24H34O9
		C25H38O8
		C20H21NO12
		C19H21N3O11
		C21H25NO11
		C20H25N3O10
		C22H29NO10
		C21H29N3O9
		C23H33NO9
		C19H16O14
		C20H20O13
		C17H24O13S
		C19H20N2O12
		C21H24O10S
		C21H24O12
		C18H28O12S
		C20H24N2O11
		C22H28O11
		C19H32O11S
		C21H28N2O10
		C26H28O8
		C23H32O10
		C24H36O9
		C25H40O8
		C19H19NO13
		C20H23NO12
		C19H23N3O11
		C21H27NO11
		C20H27N3O10
		C22H31NO10
		C23H35NO9
		C19H18O14
		C20H22O11S
		C20H22O13
		C19H22N2O12
		C24H22O10
		C21H26O10S
		C21H26O12
		C20H26N2O11
		C25H26O9
		C22H30O9S
		C22H30O11
		C21H30N2O10
		C26H30O8
		C23H34O10
		C24H38O9
		C19H21NO13
		C20H25NO12
		C19H25N3O11
		C21H29NO11
		C22H33NO10
		C22H16O12
		C19H20O14
		C23H20O11
		C20H24O11S
		C20H24O13
		C19H24N2O12
		C24H24O10
		C21H28O10S
		C17H28O15
		C21H28O12
		C20H28N2O11
		C25H28O9
		C22H32O9S
		C22H32O11
		C26H32O8
		C23H36O10
		C27H36O7
		C20H40O12
		C24H40O9
		C19H23NO13
		C23H23NO10
		C22H23N3O9
		C20H27NO12
		C24H27NO9
		C23H27N3O8
		C21H31NO11
		C22H35NO10
		C18H18O15
		C22H18O12
		C19H22O12S
		C19H22O14
		C23H22O11
		C20H26O11S
		C22H22N2O10
		C20H26O13
		C19H26N2O12
		C24H26O10
		C21H30O10S
		C23H26N2O9
		C21H30O12
		C25H30O9
		C22H34O9S
		C22H34O11
		C26H34O8
		C23H38O10
		C27H38O7
		C22H21NO11
		C19H25NO11S
		C21H21N3O10
		C19H25NO13
		C23H25NO10
		C22H25N3O9
		C20H29NO12
		C24H29NO9
		C23H29N3O8
		C21H16O13
		C18H20O15
		C26H20O7S
		C22H20O12
		C19H24O12S
		C21H20N2O11
		C19H24O14
		C23H24O11
		C20H28O11S
		C22H24N2O10
		C20H28O13
		C24H28O10
		C21H32O10S
		C23H28N2O9
		C21H32O12
		C25H32O9
		C22H36O9S
		C22H36O11
		C26H36O8
		C27H40O7
		C21H19NO12
		C22H23NO11
		C21H23N3O10
		C19H27NO13
		C23H27NO10
		C22H27N3O9
		C20H31NO12
		C24H31NO9
		C21H18O13
		C18H22O13S
		C18H22O15
		C22H22O12
		C19H26O12S
		C21H22N2O11
		C19H26O14
		C23H26O11
		C20H30O11S
		C22H26N2O10
		C20H30O13
		C24H30O10
		C21H34O10S
		C23H30N2O9
		C21H34O12
		C25H34O9
		C26H38O8
		C21H21NO12
		C20H21N3O11
		C22H25NO11
		C21H25N3O10
		C23H29NO10
		C22H29N3O9
		C24H33NO9
		C20H16O14
		C21H20O13
		C18H24O13S
		C20H20N2O12
		C22H24O12
		C19H28O12S
		C21H24N2O11
		C23H28O11
		C20H32O11S
		C22H28N2O10
		C24H32O10
		C21H36O10S
		C23H32N2O9
		C25H36O9
		C26H40O8
		C20H19NO13
		C21H23NO12
		C20H23N3O11
		C22H27NO11
		C21H27N3O10
		C23H31NO10
		C24H35NO9
		C20H18O14
		C21H22O13
		C18H26O13S
		C20H22N2O12
		C22H26O12
		C19H30O12S
		C21H26N2O11
		C23H30O11
		C20H34O11S
		C22H30N2O10
		C24H34O10
		C25H38O9
		C26H42O8
		C20H21NO13
		C19H21N3O12
		C21H25NO12
		C20H25N3O11
		C22H29NO11
		C23H33NO10
		C19H16O15
		C20H20O14
		C19H20N2O13
		C24H20O11
		C21H24O11S
		C21H24O13
		C18H28O13S
		C20H24N2O12
		C25H24O10
		C22H28O10S
		C22H28O12
		C21H28N2O11
		C26H28O9
		C23H32O11
		C27H32O8
		C24H36O10
		C25H40O9
		C19H19NO14
		C20H23NO13
		C19H23N3O12
		C21H27NO12
		C20H27N3O11
		C22H31NO11
		C23H35NO10
		C19H18O15
		C23H18O12
		C20H22O12S
		C20H22O14
		C19H22N2O13
		C24H22O11
		C21H26O11S
		C21H26O13
		C20H26N2O12
		C25H26O10
		C22H30O10S
		C22H30O12
		C21H30N2O11
		C26H30O9
		C23H34O9S
		C23H34O11
		C27H34O8
		C24H38O10
		C19H21NO14
		C20H25NO13
		C23H25N3O9
		C21H29NO12
		C22H33NO11
		C19H20O15
		C23H20O12
		C20H24O12S
		C20H24O14
		C19H24N2O13
		C24H24O11
		C21H28O11S
		C23H24N2O10
		C21H28O13
		C25H28O10
		C22H32O10S
		C24H28N2O9
		C22H32O12
		C26H32O9
		C23H36O11
		C27H36O8
		C24H40O10
		C28H40O7
		C19H23NO14
		C20H27NO11S
		C24H27NO10
		C23H27N3O9
		C21H31NO12
		C25H31NO9
		C22H18O13
		C19H22O13S
		C19H22O15
		C23H22O12
		C20H26O12S
		C22H22N2O11
		C20H26O14
		C24H26O11
		C21H30O11S
		C23H26N2O10
		C21H30O13
		C25H30O10
		C22H34O10S
		C24H30N2O9
		C22H34O12
		C26H34O9
		C27H38O8
		C22H21NO12
		C19H25NO12S
		C23H25NO11
		C22H25N3O10
		C20H29NO13
		C24H29NO10
		C23H29N3O9
		C25H33NO9
		C21H16O14
		C22H20O13
		C19H24O13S
		C21H20N2O12
		C19H24O15
		C23H24O12
		C20H28O12S
		C22H24N2O11
		C20H28O14
		C24H28O11
		C21H32O11S
		C23H28N2O10
		C21H32O13
		C25H32O10
		C22H36O10S
		C24H32N2O9
		C22H36O12
		C26H36O9
		C27H40O8
		C21H19NO13
		C22H23NO12
		C21H23N3O11
		C23H27NO11
		C22H27N3O10
		C24H31NO10
		C25H35NO9
		C21H18O14
		C22H22O13
		C19H26O13S
		C21H22N2O12
		C23H26O12
		C20H30O12S
		C22H26N2O11
		C20H30O14
		C24H30O11
		C21H34O11S
		C23H30N2O10
		C21H34O13
		C18H38O13S
		C25H34O10
		C26H38O9
		C27H42O8
		C21H21NO13
		C20H21N3O12
		C22H25NO12
		C21H25N3O11
		C23H29NO11
		C22H29N3O10
		C24H33NO10
		C25H37NO9
		C21H20O14
		C18H24O14S
		C20H20N2O13
		C14H28N2O15S
		C22H24O13
		C19H28O13S
		C21H24N2O12
		C23H28O12
		C20H32O12S
		C22H28N2O11
		C24H32O11
		C21H36O11S
		C23H32N2O10
		C25H36O10
		C26H40O9
		C21H23NO13
		C20H23N3O12
		C22H27NO12
		C21H27N3O11
		C23H31NO11
		C24H35NO10
		C20H18O15
		C21H22O14
		C20H22N2O13
		C25H22O11
		C22H26O11S
		C14H30N2O15S
		C22H26O13
		C19H30O13S
		C26H26O10
		C23H30O10S
		C15H34N2O14S
		C23H30O12
		C20H34O12S
		C22H30N2O11
		C27H30O9
		C24H34O11
		C28H34O8
		C25H38O10
		C26H42O9
		C27H50N2O6
		C20H21NO14
		C21H25NO13
		C20H25N3O12
		C22H29NO12
		C23H33NO11
		C25H45N3O7
		C20H20O15
		C24H20O12
		C21H24O12S
		C21H24O14
		C20H24N2O13
		C25H24O11
		C22H28O11S
		C22H28O13
		C21H28N2O12
		C26H28O10
		C23H32O10S
		C23H32O12
		C27H32O9
		C24H36O9S
		C24H36O11
		C28H36O8
		C25H40O10
		C24H27N3O9
		C22H31NO12
		C23H35NO11
		C23H18O13
		C20H22O13S
		C20H22O15
		C24H22O12
		C21H26O12S
		C21H26O14
		C20H26N2O13
		C25H26O11
		C22H30O11S
		C24H26N2O10
		C22H30O13
		C26H30O10
		C23H34O10S
		C23H34O12
		C27H34O9
		C24H38O11
		C28H38O8
		C22H21N3O11
		C20H25NO14
		C24H25NO11
		C23H25N3O10
		C21H29NO13
		C25H29NO10
		C23H20O13
		C20H24O13S
		C20H24O15
		C24H24O12
		C21H28O12S
		C23H24N2O11
		C21H28O14
		C25H28O11
		C22H32O11S
		C24H28N2O10
		C22H32O13
		C26H32O10
		C23H36O10S
		C23H36O12
		C27H36O9
		C24H40O11
		C28H40O8
		C20H27NO12S
		C24H27NO11
		C23H27N3O10
		C21H31NO13
		C25H31NO10
		C24H31N3O9
		C26H35NO9
		C22H18O14
		C23H22O13
		C20H26O13S
		C22H22N2O12
		C20H26O15
		C24H26O12
		C21H30O12S
		C23H26N2O11
		C21H30O14
		C25H30O11
		C22H34O11S
		C24H30N2O10
		C22H34O13
		C26H34O10
		C23H38O10S
		C23H38O12
		C28H42O8
		C22H21NO13
		C21H21N3O12
		C23H25NO12
		C22H25N3O11
		C24H29NO11
		C23H29N3O10
		C25H33NO10
		C26H37NO9
		C22H20O14
		C19H24O14S
		C21H20N2O13
		C23H24O13
		C20H28O13S
		C22H24N2O12
		C20H28O15
		C24H28O12
		C21H32O12S
		C23H28N2O11
		C21H32O14
		C25H32O11
		C22H36O11S
		C24H32N2O10
		C26H36O10
		C27H40O9
		C28H44O8
		C22H23NO13
		C21H23N3O12
		C23H27NO12
		C22H27N3O11
		C24H31NO11
		C25H35NO10
		C21H18O15
		C22H22O14
		C23H26O13
		C20H30O13S
		C22H26N2O12
		C24H30O12
		C21H34O12S
		C23H30N2O11
		C25H34O11
		C26H38O10
		C27H42O9
		C22H25NO13
		C21H25N3O12
		C23H29NO12
		C22H29N3O11
		C24H33NO11
		C25H37NO10
		C21H20O15
		C22H24O14
		C19H28O14S
		C21H24N2O13
		C26H24O11
		C23H28O11S
		C23H28O13
		C20H32O13S
		C22H28N2O12
		C27H28O10
		C24H32O12
		C23H32N2O11
		C28H32O9
		C25H36O11
		C26H40O10
		C21H23NO14
		C22H27NO13
		C21H27N3O12
		C23H31NO12
		C24H35NO11
		C26H47N3O7
		C21H22O15
		C25H22O12
		C22H26O12S
		C22H26O14
		C21H26N2O13
		C26H26O11
		C23H30O11S
		C23H30O13
		C22H30N2O12
		C27H30O10
		C24H34O10S
		C24H34O12
		C28H34O9
		C25H38O11
		C29H38O8
		C26H42O10
		C26H46N2O8
		C35H46O3
		C21H25NO14
		C24H25N3O10
		C22H29NO13
		C23H33NO12
		C24H37NO11
		C20H20O16
		C24H20O13
		C21H24O13S
		C21H24O15
		C25H24O12
		C22H28O12S
		C22H28O14
		C26H28O11
		C23H32O11S
		C25H28N2O10
		C23H32O13
		C27H32O10
		C24H36O10S
		C24H36O12
		C28H36O9
		C25H40O11
		C29H40O8
		C22H44O13
		C23H23N3O11
		C21H27NO14
		C25H27NO11
		C24H27N3O10
		C22H31NO13
		C26H31NO10
		C24H22O13
		C21H26O13S
		C23H22N2O12
		C21H26O15
		C25H26O12
		C22H30O12S
		C24H26N2O11
		C22H30O14
		C26H30O11
		C23H34O11S
		C25H30N2O10
		C23H34O13
		C27H34O10
		C24H38O12
		C28H38O9
		C29H42O8
		C24H25NO12
		C23H25N3O11
		C25H29NO11
		C24H29N3O10
		C22H33NO13
		C26H33NO10
		C23H20O14
		C20H24O14S
		C20H24O16
		C24H24O13
		C21H28O13S
		C23H24N2O12
		C21H28O15
		C25H28O12
		C22H32O12S
		C24H28N2O11
		C22H32O14
		C26H32O11
		C23H36O11S
		C25H32N2O10
		C23H36O13
		C27H36O10
		C28H40O9
		C29H44O8
		C24H27NO12
		C25H31NO11
		C26H35NO10
		C22H18O15
		C23H22O14
		C20H26O14S
		C22H22N2O13
		C24H26O13
		C21H30O13S
		C23H26N2O12
		C21H30O15
		C25H30O12
		C22H34O12S
		C24H30N2O11
		C22H34O14
		C26H34O11
		C23H38O11S
		C25H34N2O10
		C27H38O10
		C28H42O9
		C23H25NO13
		C22H25N3O12
		C24H29NO12
		C23H29N3O11
		C25H33NO11
		C26H37NO10
		C22H20O15
		C23H24O14
		C20H28O14S
		C22H24N2O13
		C24H28O13
		C21H32O13S
		C23H28N2O12
		C25H32O12
		C22H36O12S
		C24H32N2O11
		C26H36O11
		C27H40O10
		C28H44O9
		C22H23NO14
		C21H23N3O13
		C23H27NO13
		C22H27N3O12
		C24H31NO12
		C23H31N3O11
		C25H35NO11
		C22H22O15
		C23H26O14
		C20H30O14S
		C22H26N2O13
		C24H30O11S
		C24H30O13
		C21H34O13S
		C23H30N2O12
		C28H30O10
		C25H34O12
		C29H34O9
		C26H38O11
		C27H42O10
		C22H25NO14
		C23H29NO13
		C22H29N3O12
		C24H33NO12
		C25H37NO11
		C27H49N3O7
		C21H20O16
		C22H24O15
		C21H24N2O14
		C26H24O12
		C23H28O12S
		C23H28O14
		C22H28N2O13
		C27H28O11
		C24H32O11S
		C24H32O13
		C23H32N2O12
		C28H32O10
		C25H36O12
		C29H36O9
		C26H40O11
		C30H40O8
		C27H44O10
		C27H48N2O8
		C36H48O3
		C21H23NO15
		C22H27NO14
		C25H27N3O10
		C23H31NO13
		C24H35NO12
		C21H22O16
		C25H22O13
		C22H26O13S
		C22H26O15
		C21H26N2O14
		C26H26O12
		C23H30O12S
		C23H30O14
		C22H30N2O13
		C27H30O11
		C24H34O11S
		C24H34O13
		C28H34O10
		C25H38O10S
		C25H38O12
		C29H38O9
		C26H42O11
		C30H42O8
		C21H25NO15
		C24H25N3O11
		C22H29NO14
		C26H29NO11
		C25H29N3O10
		C23H33NO13
		C27H33NO10
		C24H20O14
		C21H24O14S
		C21H24O16
		C25H24O13
		C22H28O13S
		C24H24N2O12
		C22H28O15
		C26H28O12
		C23H32O12S
		C25H28N2O11
		C23H32O14
		C27H32O11
		C24H36O11S
		C24H36O13
		C28H36O10
		C25H40O12
		C29H40O9
		C30H44O8
		C23H23N3O12
		C25H27NO12
		C24H27N3O11
		C26H31NO11
		C25H31N3O10
		C27H35NO10
		C23H18O15
		C24H22O14
		C21H26O14S
		C21H26O16
		C25H26O13
		C22H30O13S
		C24H26N2O12
		C22H30O15
		C26H30O12
		C23H34O12S
		C25H30N2O11
		C23H34O14
		C27H34O11
		C24H38O13
		C28H38O10
		C29H42O9
		C30H46O8
		C24H25NO13
		C23H25N3O12
		C25H29NO12
		C24H29N3O11
		C26H33NO11
		C27H37NO10
		C23H20O15
		C24H24O14
		C21H28O14S
		C23H24N2O13
		C25H28O13
		C22H32O13S
		C24H28N2O12
		C22H32O15
		C26H32O12
		C23H36O12S
		C25H32N2O11
		C23H36O14
		C27H36O11
		C28H40O10
		C29H44O9
		C24H27NO13
		C23H27N3O12
		C25H31NO12
		C24H31N3O11
		C26H35NO11
		C27H39NO10
		C23H22O15
		C22H22N2O14
		C24H26O14
		C21H30O14S
		C23H26N2O13
		C25H30O13
		C22H34O13S
		C24H30N2O12
		C26H34O12
		C25H34N2O11
		C20H42O14S
		C27H38O11
		C28H42O10
		C29H46O9
		C23H25NO14
		C22H25N3O13
		C24H29NO13
		C23H29N3O12
		C25H33NO12
		C26H37NO11
		C22H20O16
		C23H24O15
		C22H24N2O14
		C24H28O14
		C21H32O14S
		C23H28N2O13
		C25H32O11S
		C25H32O13
		C24H32N2O12
		C29H32O10
		C26H36O12
		C27H40O11
		C28H44O10
		C22H23NO15
		C23H27NO14
		C22H27N3O13
		C24H31NO13
		C25H35NO12
		C28H51N3O7
		C22H22O16
		C23H26O15
		C22H26N2O14
		C27H26O12
		C24H30O12S
		C24H30O14
		C23H30N2O13
		C28H30O11
		C25H34O13
		C29H34O10
		C26H38O12
		C30H38O9
		C27H42O11
		C28H50N2O8
		C37H50O3
		C22H25NO15
		C23H29NO14
		C24H33NO13
		C25H37NO12
		C25H20O14
		C22H24O16
		C26H24O13
		C23H28O13S
		C23H28O15
		C22H28N2O14
		C27H28O12
		C24H32O12S
		C24H32O14
		C28H32O11
		C25H36O11S
		C25H36O13
		C29H36O10
		C26H40O12
		C30H40O9
		C27H44O11
		C22H27NO15
		C25H27N3O11
		C23H31NO14
		C24H35NO13
		C28H35NO10
		C25H22O14
		C22H26O14S
		C22H26O16
		C26H26O13
		C23H30O13S
		C25H26N2O12
		C23H30O15
		C27H30O12
		C24H34O12S
		C26H30N2O11
		C24H34O14
		C28H34O11
		C25H38O11S
		C25H38O13
		C29H38O10
		C26H42O12
		C30H42O9
		C24H50O13
		C24H25N3O12
		C26H29NO12
		C25H29N3O11
		C23H33NO14
		C27H33NO11
		C24H20O15
		C25H24O14
		C22H28O14S
		C24H24N2O13
		C22H28O16
		C26H28O13
		C23H32O13S
		C25H28N2O12
		C23H32O15
		C27H32O12
		C24H36O12S
		C26H32N2O11
		C24H36O14
		C28H36O11
		C29H40O10
		C30H44O9
		C31H48O8
		C24H23NO14
		C23H23N3O13
		C25H27NO13
		C26H31NO12
		C25H31N3O11
		C27H35NO11
		C24H22O15
		C21H26O15S
		C25H26O14
		C22H30O14S
		C24H26N2O13
		C22H30O16
		C26H30O13
		C23H34O13S
		C25H30N2O12
		C27H34O12
		C26H34N2O11
		C28H38O11
		C29H42O10
		C30H46O9
		C24H25NO14
		C23H25N3O13
		C25H29NO13
		C24H29N3O12
		C26H33NO12
		C25H33N3O11
		C27H37NO11
		C23H20O16
		C24H24O15
		C21H28O15S
		C23H24N2O14
		C25H28O14
		C22H32O14S
		C24H28N2O13
		C26H32O13
		C23H36O13S
		C25H32N2O12
		C27H36O12
		C28H40O11
		C29H44O10
		C24H27NO14
		C23H27N3O13
		C25H31NO13
		C24H31N3O12
		C26H35NO12
		C27H39NO11
		C23H22O16
		C24H26O15
		C23H26N2O14
		C25H30O12S
		C25H30O14
		C24H30N2O13
		C29H30O11
		C26H34O13
		C25H34N2O12
		C27H38O12
		C28H42O11
		C29H46O10
		C23H25NO15
		C24H29NO14
		C23H29N3O13
		C25H33NO13
		C26H37NO12
		C29H53N3O7
		C23H24O16
		C24H28O15
		C23H28N2O14
		C28H28O12
		C25H32O12S
		C25H32O14
		C24H32N2O13
		C29H32O11
		C26H36O11S
		C26H36O13
		C30H36O10
		C27H40O12
		C28H44O11
		C29H52N2O8
		C38H52O3
		C23H27NO15
		C24H31NO14
		C25H35NO13
		C26H39NO12
		C29H55N3O7
		C22H22O17
		C23H26O14S
		C23H26O16
		C27H26O13
		C24H30O13S
		C24H30O15
		C28H30O12
		C25H34O12S
		C25H34O14
		C29H34O11
		C26H38O11S
		C26H38O13
		C30H38O10
		C27H42O12
		C31H42O9
		C25H25N3O12
		C23H29NO15
		C26H29N3O11
		C24H33NO14
		C25H37NO13
		C22H24O17
		C26H24O14
		C23H28O14S
		C23H28O16
		C27H28O13
		C24H32O13S
		C26H28N2O12
		C24H32O15
		C28H32O12
		C25H36O12S
		C25H36O14
		C29H36O11
		C26H40O13
		C30H40O10
		C27H44O12
		C31H44O9
		C24H48O14
		C25H27N3O12
		C27H31NO12
		C26H31N3O11
		C28H35NO11
		C25H22O15
		C22H26O17
		C26H26O14
		C23H30O14S
		C25H26N2O13
		C23H30O16
		C27H30O13
		C24H34O13S
		C26H30N2O12
		C24H34O15
		C28H34O12
		C25H38O12S
		C25H38O14
		C29H38O11
		C26H42O13
		C30H42O10
		C31H46O9
		C24H25N3O13
		C26H29NO13
		C25H29N3O12
		C27H33NO12
		C26H33N3O11
		C28H37NO11
		C24H20O16
		C25H24O15
		C22H28O15S
		C26H28O14
		C23H32O14S
		C25H28N2O13
		C23H32O16
		C27H32O13
		C24H36O13S
		C26H32N2O12
		C28H36O12
		C29H40O11
		C30H44O10
		C31H48O9
		C25H27NO14
		C24H27N3O13
		C26H31NO13
		C25H31N3O12
		C27H35NO12
		C28H39NO11
		C24H22O16
		C25H26O15
		C22H30O15S
		C24H26N2O14
		C26H30O14
		C23H34O14S
		C25H30N2O13
		C27H34O13
		C26H34N2O12
		C28H38O12
		C29H42O11
		C30H46O10
		C24H25NO15
		C25H29NO14
		C24H29N3O13
		C26H33NO13
		C25H33N3O12
		C27H37NO12
		C24H24O16
		C25H28O15
		C22H32O15S
		C24H28N2O14
		C26H32O14
		C25H32N2O13
		C30H32O11
		C27H36O13
		C28H40O12
		C29H44O11
		C30H48O10
		C24H27NO15
		C25H31NO14
		C24H31N3O13
		C26H35NO13
		C27H39NO12
		C30H55N3O7
		C23H22O17
		C24H26O16
		C23H26N2O15
		C25H30O15
		C24H30N2O14
		C29H30O12
		C26H34O12S
		C26H34O14
		C30H34O11
		C27H38O13
		C31H38O10
		C28H42O12
		C29H46O11
		C24H29NO15
		C25H33NO14
		C26H37NO13
		C23H24O17
		C27H24O14
		C24H28O16
		C28H28O13
		C25H32O13S
		C25H32O15
		C29H32O12
		C26H36O12S
		C26H36O14
		C30H36O11
		C27H40O11S
		C27H40O13
		C31H40O10
		C28H44O12
		C32H44O9
		C24H31NO15
		C25H35NO14
		C26H22O15
		C23H26O17
		C27H26O14
		C24H30O14S
		C24H30O16
		C28H30O13
		C25H34O13S
		C25H34O15
		C29H34O12
		C26H38O12S
		C26H38O14
		C30H38O11
		C27H42O13
		C31H42O10
		C28H46O12
		C24H33NO15
		C28H33NO12
		C26H24O15
		C23H28O15S
		C23H28O17
		C27H28O14
		C24H32O14S
		C26H28N2O13
		C24H32O16
		C28H32O13
		C25H36O13S
		C27H32N2O12
		C25H36O15
		C29H36O12
		C26H40O12S
		C26H40O14
		C30H40O11
		C31H44O10
		C26H27NO14
		C25H27N3O13
		C27H31NO13
		C28H35NO12
		C29H39NO11
		C25H22O16
		C26H26O15
		C23H30O15S
		C25H26N2O14
		C27H30O14
		C24H34O14S
		C26H30N2O13
		C24H34O16
		C28H34O13
		C25H38O13S
		C27H34N2O12
		C25H38O15
		C29H38O12
		C30H42O11
		C31H46O10
		C26H29NO14
		C25H29N3O13
		C27H33NO13
		C26H33N3O12
		C28H37NO12
		C25H24O16
		C26H28O15
		C23H32O15S
		C25H28N2O14
		C27H32O14
		C24H36O14S
		C26H32N2O13
		C28H36O13
		C29H40O12
		C30H44O11
		C31H48O10
		C25H27NO15
		C26H31NO14
		C25H31N3O13
		C27H35NO13
		C28H39NO12
		C24H22O17
		C25H26O16
		C26H30O15
		C23H34O15S
		C25H30N2O14
		C27H34O14
		C26H34N2O13
		C28H38O13
		C22H46O15S
		C29H42O12
		C30H46O11
		C25H29NO15
		C24H29N3O14
		C26H33NO14
		C27H37NO13
		C28H41NO12
		C31H57N3O7
		C24H24O17
		C25H28O16
		C24H28N2O15
		C26H32O15
		C25H32N2O14
		C30H32O12
		C27H36O14
		C31H36O11
		C28H40O13
		C32H40O10
		C29H44O12
		C30H48O11
		C25H31NO15
		C26H35NO14
		C27H39NO13
		C24H26O17
		C25H30O16
		C29H30O13
		C26H34O13S
		C26H34O15
		C30H34O12
		C27H38O12S
		C27H38O14
		C31H38O11
		C28H42O13
		C32H42O10
		C29H46O12
		C24H29NO16
		C27H29N3O12
		C25H33NO15
		C26H37NO14
		C27H24O15
		C24H28O17
		C28H28O14
		C25H32O14S
		C25H32O16
		C29H32O13
		C26H36O13S
		C26H36O15
		C30H36O12
		C27H40O12S
		C27H40O14
		C31H40O11
		C28H44O13
		C32H44O10
		C29H48O12
		C34H52O8
		C26H27N3O13
		C28H31NO13
		C25H35NO15
		C29H35NO12
		C27H26O15
		C24H30O15S
		C24H30O17
		C28H30O14
		C25H34O14S
		C25H34O16
		C29H34O13
		C26H38O13S
		C26H38O15
		C30H38O12
		C27H42O14
		C31H42O11
		C32H46O10
		C27H29NO14
		C28H33NO13
		C27H33N3O12
		C29H37NO12
		C26H24O16
		C27H28O15
		C24H32O15S
		C26H28N2O14
		C24H32O17
		C28H32O14
		C25H36O14S
		C27H32N2O13
		C25H36O16
		C29H36O13
		C26H40O13S
		C28H36N2O12
		C26H40O15
		C30H40O12
		C31H44O11
		C32H48O10
		C27H31NO14
		C26H31N3O13
		C28H35NO13
		C29H39NO12
		C26H26O16
		C27H30O15
		C24H34O15S
		C26H30N2O14
		C28H34O14
		C25H38O14S
		C27H34N2O13
		C29H38O13
		C30H42O12
		C31H46O11
		C26H29NO15
		C25H29N3O14
		C27H33NO14
		C26H33N3O13
		C28H37NO13
		C29H41NO12
		C25H24O17
		C26H28O16
		C25H28N2O15
		C27H32O15
		C26H32N2O14
		C28H36O14
		C29H40O13
		C30H44O12
		C31H48O11
		C26H31NO15
		C27H35NO14
		C28H39NO13
		C25H26O17
		C26H30O16
		C25H30N2O15
		C27H34O15
		C31H34O12
		C28H38O14
		C32H38O11
		C29H42O13
		C30H46O12
		C26H33NO15
		C27H37NO14
		C28H41NO13
		C25H28O17
		C29H28O14
		C26H32O16
		C30H32O13
		C27H36O15
		C31H36O12
		C28H40O14
		C32H40O11
		C29H44O13
		C30H48O12
		C8H11NO5
		C8H10O4S
		C8H10O6
		C12H10O3
		C13H14O2
		C14H18O
		C11H9NO3
		C8H13NO5
		C12H13NO2
		C11H8O4
		C11H12N2O2
		C13H16O2
		C14H20O
		C11H11NO3
		C12H15NO2
		C10H6O5
		C8H14O4S
		C10H10N2O3
		C8H14O6
		C12H14O3
		C11H14N2O2
		C9H18O5
		C13H18O2
		C10H9NO4
		C11H13NO3
		C12H17NO2
		C10H8O3S
		C8H16O4S
		C10H12N2O3
		C12H16O3
		C11H16N2O2
		C13H20O2
		C10H11NO4
		C11H15NO3
		C9H6O6
		C7H14O5S
		C9H10N2O4
		C10H14N2O3
		C12H18O3
		C13H22O2
		C9H9NO5
		C10H13NO4
		C10H12O3S
		C7H16O5S
		C9H12N2O4
		C14H12O2
		C13H24O2
		C9H11NO5
		C10H15NO4
		C11H19NO3
		C9H10O4S
		C13H10O3
		C9H14N2O4
		C14H14O2
		C8H9NO6
		C9H13NO5
		C10H17NO4
		C8H8O7
		C12H8O4
		C9H12O4S
		C13H12O3
		C12H12N2O2
		C14H16O2
		C8H11NO6
		C12H11NO3
		C9H15NO5
		C13H15NO2
		C10H19NO4
		C11H23NO3
		C7H6O6S
		C11H6O5
		C8H10O5S
		C8H10O7
		C12H10O4
		C11H10N2O3
		C13H14O3
		C12H14N2O2
		C14H18O2
		C11H9NO4
		C12H13NO3
		C9H17NO5
		C13H17NO2
		C11H8O5
		C8H12O7
		C11H12N2O3
		C13H16O3
		C10H20O5
		C14H20O2
		C11H11NO4
		C12H15NO3
		C10H6O6
		C8H14O5S
		C10H10N2O4
